round,year,quarter,forecaster,target,point
1999Q1,1999,1,1,1999Dec,1.2
1999Q1,1999,1,2,1999Dec,1.2
1999Q1,1999,1,3,1999Dec,0.8
1999Q1,1999,1,4,1999Dec,1.3
1999Q1,1999,1,5,1999Dec,1.1
1999Q1,1999,1,6,1999Dec,1.1
1999Q1,1999,1,7,1999Dec,0.8
1999Q1,1999,1,9,1999Dec,0.6
1999Q1,1999,1,10,1999Dec,1.1
1999Q1,1999,1,11,1999Dec,1.5
1999Q1,1999,1,14,1999Dec,1.3
1999Q1,1999,1,16,1999Dec,1.6
1999Q1,1999,1,17,1999Dec,1.5
1999Q1,1999,1,18,1999Dec,1.0
1999Q1,1999,1,19,1999Dec,1.0
1999Q1,1999,1,20,1999Dec,0.9
1999Q1,1999,1,23,1999Dec,1.4
1999Q1,1999,1,24,1999Dec,1.4
1999Q1,1999,1,26,1999Dec,1.4
1999Q1,1999,1,28,1999Dec,1.2
1999Q1,1999,1,29,1999Dec,1.1
1999Q1,1999,1,31,1999Dec,1.7
1999Q1,1999,1,32,1999Dec,1.2
1999Q1,1999,1,33,1999Dec,1.6
1999Q1,1999,1,34,1999Dec,1.5
1999Q1,1999,1,35,1999Dec,1.8
1999Q1,1999,1,36,1999Dec,1.2
1999Q1,1999,1,37,1999Dec,1.8
1999Q1,1999,1,38,1999Dec,1.2
1999Q1,1999,1,39,1999Dec,1.3
1999Q1,1999,1,40,1999Dec,1.1
1999Q1,1999,1,43,1999Dec,0.6
1999Q1,1999,1,45,1999Dec,
1999Q1,1999,1,46,1999Dec,0.71
1999Q1,1999,1,47,1999Dec,1.0
1999Q1,1999,1,50,1999Dec,0.4
1999Q1,1999,1,52,1999Dec,1.0
1999Q1,1999,1,53,1999Dec,1.4
1999Q1,1999,1,54,1999Dec,0.8
1999Q1,1999,1,55,1999Dec,1.1
1999Q1,1999,1,56,1999Dec,0.9
1999Q1,1999,1,59,1999Dec,1.4
1999Q1,1999,1,60,1999Dec,1.4
1999Q1,1999,1,61,1999Dec,1.5
1999Q1,1999,1,62,1999Dec,
1999Q1,1999,1,63,1999Dec,1.4
1999Q1,1999,1,64,1999Dec,1.1
1999Q1,1999,1,65,1999Dec,0.9
1999Q1,1999,1,67,1999Dec,0.8
1999Q1,1999,1,68,1999Dec,0.5
1999Q1,1999,1,70,1999Dec,1.0
1999Q1,1999,1,71,1999Dec,1.4
1999Q1,1999,1,72,1999Dec,1.0
1999Q1,1999,1,73,1999Dec,
1999Q1,1999,1,76,1999Dec,1.3
1999Q1,1999,1,85,1999Dec,0.5
1999Q1,1999,1,86,1999Dec,1.3
1999Q1,1999,1,87,1999Dec,1.0
1999Q1,1999,1,88,1999Dec,1.4
1999Q1,1999,1,89,1999Dec,1.2
1999Q1,1999,1,90,1999Dec,0.7
1999Q1,1999,1,91,1999Dec,1.4
1999Q1,1999,1,92,1999Dec,1.33
1999Q1,1999,1,93,1999Dec,
1999Q1,1999,1,94,1999Dec,1.4
1999Q1,1999,1,95,1999Dec,0.8
1999Q2,1999,2,1,2000Mar,1.4
1999Q2,1999,2,2,2000Mar,1.2
1999Q2,1999,2,3,2000Mar,1.1
1999Q2,1999,2,4,2000Mar,1.7
1999Q2,1999,2,5,2000Mar,1.4
1999Q2,1999,2,7,2000Mar,1.4
1999Q2,1999,2,9,2000Mar,1.2
1999Q2,1999,2,11,2000Mar,1.5
1999Q2,1999,2,14,2000Mar,1.3
1999Q2,1999,2,16,2000Mar,1.9
1999Q2,1999,2,17,2000Mar,1.5
1999Q2,1999,2,19,2000Mar,1.0
1999Q2,1999,2,20,2000Mar,1.8
1999Q2,1999,2,23,2000Mar,1.8
1999Q2,1999,2,24,2000Mar,1.8
1999Q2,1999,2,26,2000Mar,1.3
1999Q2,1999,2,28,2000Mar,1.2
1999Q2,1999,2,29,2000Mar,1.6
1999Q2,1999,2,31,2000Mar,2.1
1999Q2,1999,2,32,2000Mar,1.4
1999Q2,1999,2,33,2000Mar,1.8
1999Q2,1999,2,34,2000Mar,1.5
1999Q2,1999,2,36,2000Mar,1.4
1999Q2,1999,2,37,2000Mar,2.0
1999Q2,1999,2,38,2000Mar,2.0
1999Q2,1999,2,39,2000Mar,1.7
1999Q2,1999,2,40,2000Mar,1.3
1999Q2,1999,2,41,2000Mar,1.7
1999Q2,1999,2,42,2000Mar,1.6
1999Q2,1999,2,43,2000Mar,1.3
1999Q2,1999,2,45,2000Mar,
1999Q2,1999,2,46,2000Mar,0.78
1999Q2,1999,2,47,2000Mar,1.3
1999Q2,1999,2,48,2000Mar,1.2
